Date,Tmax,Tmin,Prec,TOA
01/01/1984,-1.23,-5.66,42.19,7.1,
02/01/1984,-3.41,-10.24,31.64,12.65,
03/01/1984,2.06,-5.96,5.27,21.23,
04/01/1984,13.48,1.65,26.37,30.53,
05/01/1984,18.08,8.32,116.02,37.89,
06/01/1984,17.76,8.98,79.1,41.21,
07/01/1984,19.42,10.29,84.38,39.35,
08/01/1984,22.1,11.35,21.09,32.97,
09/01/1984,16.23,8.11,79.1,24.2,
10/01/1984,12.55,4.8,26.37,15.25,
11/01/1984,2.7,-2.47,31.64,8.51,
12/01/1984,-1.87,-5.42,26.37,5.66,
01/01/1985,-9.43,-16.63,21.09,7.19,
02/01/1985,-9.9,-17.85,15.82,12.71,
03/01/1985,1.02,-4.99,52.73,21.15,
04/01/1985,10.83,0.03,47.46,30.47,
05/01/1985,18.66,7.83,73.83,37.85,
06/01/1985,19.19,10.08,105.47,41.2,
07/01/1985,20.17,10.76,94.92,39.37,
08/01/1985,22.76,12.65,68.55,33.03,
09/01/1985,14.76,6.39,84.38,24.27,
10/01/1985,11.48,4.1,31.64,15.32,
11/01/1985,1.12,-3.34,26.37,8.55,
12/01/1985,-1.06,-6.49,52.73,5.67,
01/01/1986,-2.99,-9.42,89.65,7.16,
02/01/1986,-9.47,-18.17,10.55,12.65,
03/01/1986,2.46,-5.85,26.37,21.07,
04/01/1986,11.03,1.57,58.01,30.4,
05/01/1986,18.51,6.73,47.46,37.81,
06/01/1986,20.94,10.65,63.28,41.19,
07/01/1986,21.9,12.15,63.28,39.41,
08/01/1986,20.98,11.13,84.38,33.09,
09/01/1986,13.35,5.33,84.38,24.34,
10/01/1986,10.9,2.2,26.37,15.38,
11/01/1986,5.39,0.4,63.28,8.59,
12/01/1986,-1.6,-6.92,47.46,5.67,
01/01/1987,-13.17,-21.63,21.09,7.13,
02/01/1987,-1.74,-9.1,21.09,12.59,
03/01/1987,-1.19,-10.87,42.19,20.99,
04/01/1987,9.72,-0.86,26.37,30.33,
05/01/1987,16.19,5.99,68.55,37.76,
06/01/1987,19.75,9.76,126.56,41.19,
07/01/1987,20.98,11.13,68.55,39.44,
08/01/1987,18.92,9.21,79.1,33.15,
09/01/1987,15.92,6.66,36.91,24.42,
10/01/1987,11.19,2.34,15.82,15.45,
11/01/1987,3.82,-0.85,47.46,8.63,
12/01/1987,-0.72,-6.13,63.28,5.68,
01/01/1988,-1.63,-5.86,31.64,7.11,
02/01/1988,-0.81,-6.67,31.64,12.67,
03/01/1988,1.98,-5.14,63.28,21.23,
04/01/1988,9.98,-0.75,15.82,30.56,
05/01/1988,19.5,7.84,58.01,37.92,
06/01/1988,20.69,12.11,100.2,41.21,
07/01/1988,23.49,13.89,89.65,39.33,
08/01/1988,20.81,11.19,100.2,32.96,
09/01/1988,17.08,8.58,42.19,24.2,
10/01/1988,10.39,1.49,10.55,15.25,
11/01/1988,0.23,-4.92,52.73,8.51,
12/01/1988,-1.2,-8.34,58.01,5.66,
01/01/1989,2.42,-1.76,21.09,7.2,
02/01/1989,5.12,-1.28,26.37,12.73,
03/01/1989,7.41,-0.92,36.91,21.17,
04/01/1989,12.83,2.9,68.55,30.5,
05/01/1989,18.59,7.18,47.46,37.89,
06/01/1989,20.31,10.68,100.2,41.21,
07/01/1989,22.05,12.37,63.28,39.4,
08/01/1989,20.54,10.88,84.38,33.04,
09/01/1989,18.76,7.98,21.09,24.27,
10/01/1989,11.57,5.1,84.38,15.32,
11/01/1989,2.46,-2.97,26.37,8.55,
12/01/1989,-0.42,-5.42,63.28,5.67,
01/01/1990,1.69,-2.8,26.37,7.17,
02/01/1990,5.82,-0.15,26.37,12.66,
03/01/1990,8.6,-0.11,36.91,21.09,
04/01/1990,12.83,2.03,10.55,30.44,
05/01/1990,17.24,5.86,31.64,37.84,
06/01/1990,20.19,10.01,63.28,41.23,
07/01/1990,19.83,11.74,105.47,39.42,
08/01/1990,21.1,11.3,73.83,33.09,
09/01/1990,13.72,6.19,142.38,24.36,
10/01/1990,11.03,2.94,52.73,15.38,
11/01/1990,4.26,0.42,52.73,8.58,
12/01/1990,-2.17,-6.77,36.91,5.67,
01/01/1991,-0.9,-6.1,31.64,7.14,
02/01/1991,-3.62,-8.77,42.19,12.6,
03/01/1991,5.23,-2.56,15.82,21.02,
04/01/1991,10.9,1.31,15.82,30.38,
05/01/1991,14.9,4.9,63.28,37.79,
06/01/1991,19.58,8.89,89.65,41.2,
07/01/1991,22.4,12.46,36.91,39.46,
08/01/1991,21.9,12.76,42.19,33.16,
09/01/1991,18.38,8.23,15.82,24.43,
10/01/1991,10.85,2.17,15.82,15.44,
11/01/1991,3.94,-0.35,52.73,8.63,
12/01/1991,-0.42,-5.27,26.37,5.68,
01/01/1992,-0.27,-5.58,21.09,7.11,
02/01/1992,1,-4.07,47.46,12.68,
03/01/1992,6.05,-2.07,52.73,21.26,
04/01/1992,8.84,0.11,89.65,30.58,
05/01/1992,17.15,6.18,47.46,37.93,
06/01/1992,21.48,10.31,21.09,41.22,
07/01/1992,24.3,12.37,31.64,39.35,
08/01/1992,26.15,13.21,26.37,32.95,
09/01/1992,17.27,7.81,89.65,24.19,
10/01/1992,6.73,-0.49,63.28,15.24,
11/01/1992,2.84,-1.52,42.19,8.5,
12/01/1992,-0.97,-6.08,47.46,5.66,
01/01/1993,-0.28,-5.61,63.28,7.2,
02/01/1993,0.01,-6.95,31.64,12.73,
03/01/1993,3.22,-4.75,36.91,21.17,
04/01/1993,12.52,1.68,5.27,30.5,
05/01/1993,20.71,8.58,26.37,37.87,
06/01/1993,18.99,8.48,42.19,41.21,
07/01/1993,19.83,11.06,174.02,39.37,
08/01/1993,20.09,9.44,52.73,33.02,
09/01/1993,13.88,5.26,63.28,24.26,
10/01/1993,10.26,1.8,42.19,15.3,
11/01/1993,-2.83,-8.2,21.09,8.54,
12/01/1993,-0.26,-4.46,68.55,5.67,
01/01/1994,-0.25,-4.57,58.01,7.17,
02/01/1994,-5.24,-14,21.09,12.67,
03/01/1994,2.64,-4.05,63.28,21.1,
04/01/1994,12.4,2.4,73.83,30.43,
05/01/1994,15.9,5.15,84.38,37.82,
06/01/1994,18.57,8.14,26.37,41.2,
07/01/1994,25.22,13.57,5.27,39.4,
08/01/1994,22.31,12.56,58.01,33.07,
09/01/1994,18.86,9.07,84.38,24.32,
10/01/1994,9.35,1.24,52.73,15.37,
11/01/1994,3.63,-2.25,47.46,8.58,
12/01/1994,-0.88,-5.31,58.01,5.67,
01/01/1995,-2.7,-8.14,26.37,7.14,
02/01/1995,3.42,-2.3,58.01,12.6,
03/01/1995,4.48,-1.92,68.55,21.02,
04/01/1995,11.18,0.9,26.37,30.36,
05/01/1995,16.53,6.07,68.55,37.78,
06/01/1995,22.02,11.98,89.65,41.19,
07/01/1995,23.28,11.99,42.19,39.43,
08/01/1995,22.71,11.78,58.01,33.13,
09/01/1995,17.41,7.92,63.28,24.4,
10/01/1995,13.48,3.66,21.09,15.43,
11/01/1995,0.9,-4.52,42.19,8.62,
