Date,Tmax,Tmin,Prec,TOA
01/01/1984,7.77,-0.05,48.98,13.11,
02/01/1984,5.78,-0.73,101,18.62,
03/01/1984,8.97,1.25,64.27,26.3,
04/01/1984,12.85,4.63,84.92,33.86,
05/01/1984,16.93,7.32,142.85,39.32,
06/01/1984,22.87,11.33,31.58,41.6,
07/01/1984,30.19,15.04,9.03,40.26,
08/01/1984,27.22,14.51,67.35,35.6,
09/01/1984,22.7,11.69,170.09,28.68,
10/01/1984,17.21,8.53,74.73,20.94,
11/01/1984,13.61,6.3,73.19,14.52,
12/01/1984,8.43,2.67,59.69,11.57,
01/01/1985,4.08,-2.28,67.09,13.21,
02/01/1985,6.9,-0.72,34.71,18.68,
03/01/1985,9.99,2.45,101.28,26.23,
04/01/1985,15.06,5.3,28.73,33.81,
05/01/1985,19.69,9.8,58.01,39.29,
06/01/1985,25.28,12.76,20.39,41.59,
07/01/1985,32.21,17.26,4.06,40.28,
08/01/1985,31.28,16.66,39.76,35.64,
09/01/1985,28.27,13.88,11.93,28.73,
10/01/1985,20.05,9.16,73.13,20.99,
11/01/1985,10.99,3.48,115.15,14.56,
12/01/1985,10.09,3,57.78,11.58,
01/01/1986,7.05,-0.37,80.12,13.18,
02/01/1986,4.24,-1.14,93.78,18.62,
03/01/1986,10.32,1.98,76.84,26.17,
04/01/1986,15.11,5.43,94.17,33.76,
05/01/1986,22.08,11.22,39.96,39.26,
06/01/1986,22.12,11.96,132.39,41.58,
07/01/1986,26.41,15.34,75.37,40.3,
08/01/1986,30.47,16.45,17.29,35.68,
09/01/1986,24.42,12.28,46.81,28.79,
10/01/1986,20.31,9.11,36.23,21.05,
11/01/1986,12.3,4.36,67.56,14.6,
12/01/1986,7.47,-0.46,20.82,11.59,
01/01/1987,5.22,-1.61,102.06,13.15,
02/01/1987,7.69,0.31,61.52,18.56,
03/01/1987,7.34,-1.34,58.03,26.1,
04/01/1987,15.73,4.76,27.08,33.71,
05/01/1987,19.2,7.35,73.93,39.23,
06/01/1987,25.62,12.33,32.72,41.58,
07/01/1987,30.48,16.92,48.99,40.33,
08/01/1987,30.31,16.02,22.93,35.73,
09/01/1987,28.09,15.86,47.2,28.85,
10/01/1987,19.46,10.38,121.47,21.12,
11/01/1987,11.77,4.75,143.17,14.64,
12/01/1987,8.37,2.37,77.31,11.59,
01/01/1988,9.2,2.65,42.61,13.13,
02/01/1988,8.67,0.17,51.8,18.63,
03/01/1988,11.18,1.91,32.79,26.31,
04/01/1988,15.29,6.17,60.47,33.89,
05/01/1988,19.82,10.46,95.62,39.34,
06/01/1988,22.7,11.98,96.95,41.6,
07/01/1988,31.54,17.41,2.94,40.25,
08/01/1988,31.41,17.02,32.33,35.59,
09/01/1988,24.92,12.52,35.23,28.68,
10/01/1988,20.89,10.59,57.59,20.94,
11/01/1988,9.59,1.01,63.64,14.52,
12/01/1988,7.64,0.41,26.94,11.58,
01/01/1989,7.95,-0.95,3.81,13.22,
02/01/1989,11.47,1.71,21.34,18.7,
03/01/1989,15.74,4.25,42.55,26.25,
04/01/1989,15.9,6.08,76.51,33.85,
05/01/1989,20.59,8.77,48.08,39.33,
06/01/1989,23.85,12.03,63.09,41.6,
07/01/1989,27.12,15.88,118.99,40.31,
08/01/1989,28.81,15.84,79.73,35.65,
09/01/1989,22.71,12.68,100.25,28.73,
10/01/1989,17.63,6.97,32.21,21,
11/01/1989,11.03,2.85,82.06,14.56,
12/01/1989,9.02,2.56,13.94,11.59,
01/01/1990,8.01,0.67,21.44,13.2,
02/01/1990,12.78,2.35,15.13,18.64,
03/01/1990,14.95,3.83,31.78,26.19,
04/01/1990,14.34,4.74,90.1,33.8,
05/01/1990,21.66,10.09,60.58,39.29,
06/01/1990,26.64,13.36,31.78,41.62,
07/01/1990,30.06,16.23,31.17,40.32,
08/01/1990,29.39,15.86,40.43,35.69,
09/01/1990,24.73,12.36,37.97,28.81,
10/01/1990,20.26,11.07,92.34,21.06,
11/01/1990,11.97,4.6,119.02,14.6,
12/01/1990,5.38,0.35,95.46,11.59,
01/01/1991,6.91,0.56,19.38,13.16,
02/01/1991,6.13,-1.08,60.86,18.58,
03/01/1991,13.61,4.67,26.78,26.13,
04/01/1991,13.15,3.52,70.35,33.75,
05/01/1991,15.37,6.13,143.04,39.25,
06/01/1991,24.07,12.61,45.9,41.6,
07/01/1991,30.2,17.41,38.19,40.35,
08/01/1991,30.48,17.56,20.13,35.75,
09/01/1991,25.59,13.93,77.95,28.87,
10/01/1991,16.47,7.56,122.69,21.11,
11/01/1991,11.03,4.18,166.77,14.64,
12/01/1991,5.33,-1.33,11.71,11.59,
01/01/1992,6.58,0.48,24.18,13.14,
02/01/1992,9.01,0.04,14.91,18.65,
03/01/1992,11.97,2.56,72.19,26.33,
04/01/1992,15,5.92,85.14,33.91,
05/01/1992,20.4,9.45,40.29,39.35,
06/01/1992,22.37,12.18,91.7,41.61,
07/01/1992,27.56,15.4,58.51,40.26,
08/01/1992,32.52,18.35,21.79,35.58,
09/01/1992,26.37,13.3,42.88,28.66,
10/01/1992,17.46,9.94,204.01,20.92,
11/01/1992,13.39,6.35,51.54,14.51,
12/01/1992,7.6,2.45,97.6,11.58,
01/01/1993,6.58,0.27,8.58,13.23,
02/01/1993,7.47,-0.96,3.15,18.69,
03/01/1993,10.8,1.35,46.87,26.26,
04/01/1993,15.84,5.32,72.09,33.85,
05/01/1993,21.4,10.38,31.87,39.31,
06/01/1993,27.25,14.55,36.3,41.6,
07/01/1993,29.78,15.3,31.5,40.28,
08/01/1993,31.59,18.08,36.34,35.63,
09/01/1993,24.09,12.62,99.78,28.72,
10/01/1993,17.29,9.94,149.23,20.98,
11/01/1993,9.78,4.2,138.83,14.55,
12/01/1993,9.2,2.62,66.66,11.58,
01/01/1994,8.34,1.57,74.05,13.19,
02/01/1994,7.24,0.36,38.18,18.64,
03/01/1994,15.64,4.87,3.24,26.19,
04/01/1994,14.03,4.99,86.43,33.78,
05/01/1994,21.21,9.92,45.16,39.27,
06/01/1994,25.92,13.82,71.51,41.59,
07/01/1994,30.46,17.82,27.72,40.3,
08/01/1994,33.25,18.9,17.72,35.67,
09/01/1994,25.12,14.08,113.7,28.77,
10/01/1994,18.11,8.11,49.55,21.04,
11/01/1994,14.27,6.4,60.8,14.59,
12/01/1994,9.32,2.65,39.39,11.58,
01/01/1995,6.24,-0.46,36.59,13.16,
02/01/1995,11.22,2.16,79.99,18.58,
03/01/1995,10.55,1.16,75.64,26.12,
04/01/1995,15.31,4.79,41.1,33.73,
05/01/1995,19.85,8.98,61.81,39.24,
06/01/1995,23.38,11.26,84.17,41.58,
07/01/1995,30.27,17.71,30.5,40.32,
08/01/1995,26.05,15.35,95.21,35.72,
09/01/1995,21.54,11.19,123.64,28.83,
10/01/1995,19.86,8.96,4.93,21.1,
11/01/1995,11.83,3.12,38.88,14.63,
12/01/1995,8.99,3.39,79.86,11.59,
01/01/1996,8.72,2.57,30.2,13.13,
02/01/1996,6.29,-1.25,73.68,18.64,
03/01/1996,9.72,1.35,44.62,26.32,
04/01/1996,15.71,5.89,69.33,33.89,
05/01/1996,20.02,9.61,68.62,39.34,
06/01/1996,25.77,13.99,43.2,41.59,
07/01/1996,27.95,14.9,35.51,40.24,
08/01/1996,27.98,15.41,83.16,35.56,
09/01/1996,18.87,10.15,186.9,28.64,
10/01/1996,16.21,8.28,91.91,20.91,
11/01/1996,12.55,5.58,120.82,14.5,
12/01/1996,7.96,1.96,82.15,11.57,
01/01/1997,8.46,2.16,44.96,13.23,
02/01/1997,9.41,1.11,36.15,18.7,
03/01/1997,13.32,2.84,20.58,26.26,
04/01/1997,13.07,2.2,67.83,33.84,
05/01/1997,21.2,9.57,31.99,39.31,
06/01/1997,25.73,14.14,97.13,41.59,
07/01/1997,28.99,15.55,34.44,40.27,
08/01/1997,28.56,16.26,30.15,35.62,
09/01/1997,27.14,13.93,23.23,28.71,
10/01/1997,18.66,9.12,46.53,20.98,
11/01/1997,12.61,6.1,132.36,14.54,
12/01/1997,9.06,2.69,60.18,11.58,
01/01/1998,8.24,1.47,31.41,13.2,
02/01/1998,10.78,1.21,33.42,18.65,
03/01/1998,11.21,1.12,30,26.2,
04/01/1998,15.79,5.88,93.1,33.8,
05/01/1998,20.26,9.5,62.83,39.28,
06/01/1998,27.74,14.76,44.37,41.6,
07/01/1998,32.32,17.56,16.69,40.31,
08/01/1998,31.65,18.3,23.3,35.67,
