Date,Tmax,Tmin,Prec,TOA
01/01/1984,3.74,-1.54,179.3,10.67,
02/01/1984,3.7,-2.95,89.65,16.26,
03/01/1984,7.95,-0.74,58.01,24.36,
04/01/1984,13.4,2.39,21.09,32.63,
05/01/1984,14.3,5.81,116.02,38.83,
06/01/1984,20.13,10.17,79.1,41.51,
07/01/1984,23.19,12.26,42.19,39.97,
08/01/1984,23.31,13.05,58.01,34.64,
09/01/1984,18.2,9.38,121.29,26.98,
10/01/1984,15.3,6.81,110.74,18.72,
11/01/1984,12.3,4.73,89.65,12.1,
12/01/1984,5.72,-0.45,63.28,9.15,
01/01/1985,-2,-9.24,105.47,10.77,
02/01/1985,5.83,-2.63,58.01,16.32,
03/01/1985,7.38,-0.4,73.83,24.28,
04/01/1985,13.4,3.75,94.92,32.58,
05/01/1985,16.48,7.69,158.2,38.8,
06/01/1985,19.61,10.02,100.2,41.49,
07/01/1985,24.14,13.95,79.1,39.99,
08/01/1985,23.1,11.81,47.46,34.69,
09/01/1985,22.62,11.28,21.09,27.04,
10/01/1985,18.12,6.55,5.27,18.78,
11/01/1985,5.16,-1.88,84.38,12.14,
12/01/1985,6.66,0.79,79.1,9.15,
01/01/1986,3.39,-2.04,158.2,10.74,
02/01/1986,0.93,-7.06,36.91,16.26,
03/01/1986,8.93,0.15,94.92,24.21,
04/01/1986,10.19,2.47,163.48,32.52,
05/01/1986,18.87,9.55,110.74,38.76,
06/01/1986,21.84,11.85,47.46,41.49,
07/01/1986,23.27,13.08,42.19,40.02,
08/01/1986,23.1,12.49,84.38,34.74,
09/01/1986,20.83,9.91,79.1,27.11,
10/01/1986,17.15,7.71,89.65,18.84,
11/01/1986,10.42,2.75,58.01,12.18,
12/01/1986,4.81,-0.92,131.84,9.16,
01/01/1987,-0.6,-8.38,58.01,10.71,
02/01/1987,4.7,-1.8,84.38,16.2,
03/01/1987,7.29,-1.42,84.38,24.14,
04/01/1987,15.2,4.41,58.01,32.46,
05/01/1987,15.12,5.74,121.29,38.73,
06/01/1987,18.94,10.77,226.76,41.49,
07/01/1987,22.69,14.05,105.47,40.05,
08/01/1987,22.53,12.9,73.83,34.8,
09/01/1987,22.4,13.01,110.74,27.18,
10/01/1987,15.91,8.35,116.02,18.91,
11/01/1987,8.21,1.95,94.92,12.22,
12/01/1987,6.31,0.47,52.73,9.17,
01/01/1988,7.46,1.72,126.56,10.68,
02/01/1988,5.76,-1.11,84.38,16.28,
03/01/1988,7.3,0.77,142.38,24.36,
04/01/1988,14.79,4.98,42.19,32.66,
05/01/1988,18.54,10.01,163.48,38.86,
06/01/1988,20.5,11.2,42.19,41.51,
07/01/1988,22.36,12.84,73.83,39.96,
08/01/1988,24.09,13.65,52.73,34.64,
09/01/1988,19.89,10.06,84.38,26.98,
10/01/1988,16.44,8.3,126.56,18.71,
11/01/1988,8.18,0.58,42.19,12.1,
12/01/1988,5.44,0.23,79.1,9.15,
01/01/1989,5.76,-0.93,21.09,10.78,
02/01/1989,8.14,0.57,73.83,16.34,
03/01/1989,12.76,3.24,58.01,24.3,
04/01/1989,11.74,3.4,174.02,32.61,
05/01/1989,20.15,9.4,52.73,38.84,
06/01/1989,20.51,10.33,42.19,41.51,
07/01/1989,24.43,14.09,68.55,40.02,
08/01/1989,24.92,13.46,36.91,34.7,
09/01/1989,21.9,10.29,31.64,27.04,
10/01/1989,17.69,7.25,47.46,18.78,
11/01/1989,10.49,1.01,73.83,12.14,
12/01/1989,8.19,0.66,84.38,9.16,
01/01/1990,6.44,-0.75,42.19,10.75,
02/01/1990,11.49,3.02,110.74,16.28,
03/01/1990,12.62,2.55,15.82,24.23,
04/01/1990,12.71,2.9,47.46,32.56,
05/01/1990,20.62,10.18,47.46,38.79,
06/01/1990,20.88,11.12,116.02,41.53,
07/01/1990,26.01,13.51,36.91,40.04,
08/01/1990,27.56,14.82,31.64,34.75,
09/01/1990,21.89,9.83,52.73,27.12,
10/01/1990,18.63,8.7,73.83,18.84,
11/01/1990,8.65,1.97,68.55,12.18,
12/01/1990,2.01,-4.03,63.28,9.16,
01/01/1991,5.34,-1.04,31.64,10.72,
02/01/1991,5.56,-3.71,26.37,16.22,
03/01/1991,13.4,3.83,52.73,24.17,
04/01/1991,13.51,2.38,31.64,32.51,
05/01/1991,16.5,4.79,21.09,38.76,
06/01/1991,20.84,10.42,100.2,41.5,
07/01/1991,27.76,15.11,68.55,40.07,
08/01/1991,29.49,15.57,21.09,34.81,
09/01/1991,24.55,13.44,152.93,27.19,
10/01/1991,14.57,5.29,79.1,18.9,
11/01/1991,8.46,1.55,116.02,12.22,
12/01/1991,4.33,-2.22,84.38,9.17,
01/01/1992,3.78,-3.5,21.09,10.69,
02/01/1992,6.8,-1.45,63.28,16.29,
03/01/1992,10.79,1.55,84.38,24.39,
04/01/1992,13.63,3.16,79.1,32.68,
05/01/1992,20.01,9.17,63.28,38.87,
06/01/1992,20.58,11.23,116.02,41.52,
07/01/1992,24.28,14.31,79.1,39.97,
08/01/1992,27.19,15.33,94.92,34.63,
09/01/1992,21.31,10.26,63.28,26.97,
10/01/1992,12.5,5.19,147.66,18.7,
11/01/1992,10.42,4.03,174.02,12.09,
12/01/1992,6,-0.11,68.55,9.15,
01/01/1993,6.72,0.13,42.19,10.78,
02/01/1993,5.73,-2.8,5.27,16.34,
03/01/1993,10.69,0.37,15.82,24.31,
04/01/1993,15.35,5.19,84.38,32.61,
05/01/1993,19.19,9.44,100.2,38.82,
06/01/1993,21.81,12.32,126.56,41.51,
07/01/1993,22.44,12.3,79.1,39.99,
08/01/1993,25.02,12.93,36.91,34.68,
09/01/1993,18.48,9.72,200.39,27.03,
10/01/1993,13.35,5.84,189.84,18.76,
11/01/1993,6.4,-0.95,31.64,12.13,
12/01/1993,5.62,0.83,189.84,9.15,
01/01/1994,4.83,-0.68,152.93,10.75,
02/01/1994,6.4,0.01,89.65,16.28,
03/01/1994,12.35,4.15,58.01,24.24,
04/01/1994,11.52,2.65,105.47,32.54,
05/01/1994,18.1,8.55,105.47,38.78,
06/01/1994,21.94,11.48,63.28,41.5,
07/01/1994,26.47,16.23,31.64,40.01,
08/01/1994,25.51,14.32,52.73,34.73,
09/01/1994,18.87,9.91,163.48,27.09,
10/01/1994,15.74,6.59,84.38,18.82,
11/01/1994,12.04,5.04,68.55,12.17,
12/01/1994,6.75,0.88,121.29,9.16,
01/01/1995,3.48,-2.79,184.57,10.72,
02/01/1995,8.55,1.52,142.38,16.22,
03/01/1995,8.22,-0.44,126.56,24.16,
04/01/1995,13.43,3.65,63.28,32.48,
05/01/1995,17.9,7.53,137.11,38.74,
06/01/1995,19.63,9.8,52.73,41.49,
07/01/1995,25.73,15.44,58.01,40.04,
08/01/1995,24.09,13.69,52.73,34.78,
09/01/1995,17.42,8.54,137.11,27.15,
10/01/1995,18.92,9.69,42.19,18.88,
11/01/1995,9.31,0.95,52.73,12.21,
12/01/1995,4.8,-0.99,116.02,9.16,
01/01/1996,8.03,0.26,36.91,10.69,
02/01/1996,3.71,-3.25,73.83,16.29,
03/01/1996,9.34,-0.86,26.37,24.38,
04/01/1996,14.69,3.58,26.37,32.67,
05/01/1996,16.92,7.5,137.11,38.85,
06/01/1996,21.79,11.44,73.83,41.5,
07/01/1996,22.5,11.94,105.47,39.95,
08/01/1996,22.79,12.69,84.38,34.61,
09/01/1996,18.56,6.87,31.64,26.95,
10/01/1996,15.57,5.88,47.46,18.69,
11/01/1996,7.62,0.95,274.22,12.08,
12/01/1996,4.58,-1.49,68.55,9.15,
01/01/1997,4.26,-2.78,58.01,10.78,
02/01/1997,8.88,0.62,73.83,16.34,
03/01/1997,12.83,2.61,15.82,24.31,
04/01/1997,14.09,1.76,47.46,32.61,
05/01/1997,18.8,8.39,121.29,38.82,
06/01/1997,20.47,11.65,147.66,41.5,
07/01/1997,22.38,12.72,94.92,39.98,
08/01/1997,26.15,15.98,73.83,34.67,
09/01/1997,22.83,11.03,31.64,27.01,
10/01/1997,16.07,5.47,58.01,18.76,
11/01/1997,10.5,2.96,126.56,12.13,
12/01/1997,5.68,0.23,121.29,9.16,
01/01/1998,6.01,-0.88,100.2,10.76,
02/01/1998,9.31,-0.61,15.82,16.29,
03/01/1998,10.65,0.81,42.19,24.24,
04/01/1998,12.69,4.07,147.66,32.56,
05/01/1998,19.62,8.61,63.28,38.79,
06/01/1998,21.76,11.8,68.55,41.51,
07/01/1998,23.76,13.22,36.91,40.03,
08/01/1998,25.27,13.14,63.28,34.73,
09/01/1998,19.49,10.4,189.84,27.09,
10/01/1998,13.83,6.28,121.29,18.83,
11/01/1998,5.75,-1.46,79.1,12.17,
12/01/1998,4.79,-1.38,42.19,9.16,
01/01/1999,6.2,0.06,110.74,10.73,
02/01/1999,3.95,-3.12,142.38,16.24,
03/01/1999,10.76,2.05,94.92,24.19,
